user,password,idamId
PerfWAUser010@perftest.com,Password12,996da12b-4fc1-493d-86cc-eedbb88dd7e5
PerfWAUser009@perftest.com,Password12,859fe974-f1d2-43f5-88e6-264a1dc366a9
PerfWAUser008@perftest.com,Password12,609d8d11-cbbf-4bde-8951-e2333a533d0d
PerfWAUser007@perftest.com,Password12,9c71666b-56e5-49cf-9200-005300573720
PerfWAUser006@perftest.com,Password12,d6ff5bb7-fb3a-4df8-9a9d-ad365eaf0f18
PerfWAUser005@perftest.com,Password12,9845e06f-2b65-4299-9791-a5884a83ce97
PerfWAUser004@perftest.com,Password12,15d99135-8d28-4cfd-bdc1-cda23b7db84f
PerfWAUser003@perftest.com,Password12,e468df51-0341-43ca-af87-bec5b8928d0e
PerfWAUser002@perftest.com,Password12,107f3184-54e8-4c72-94e3-f649d03352ae
PerfWAUser001@perftest.com,Password12,f3c7dd86-ca6e-419d-a351-919ebb1996cb
wa-ft-r2-b8840432-6100-4cfd-a242-587f037bc6d1@fake.hmcts.net,London01,f62a850c-2b65-4cff-b9dc-7a5de8c564d5
